umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.155,0.9386517378119897,0.24074074074074073,0.3443708609271523,0.28337874659400547,0.35439396294633196,0.7445591607209192,3972,164,99,52,216,1154,MLP inicial
0.16,0.940517844646606,0.25,0.3443708609271523,0.28969359331476324,0.35439396294633196,0.7445591607209192,3980,156,99,52,208,1146,MLP inicial
0.16499999999999998,0.9435502682528575,0.26666666666666666,0.3443708609271523,0.30057803468208094,0.35439396294633196,0.7445591607209192,3993,143,99,52,195,1133,MLP inicial
0.16999999999999998,0.9458829017961278,0.2810810810810811,0.3443708609271523,0.30952380952380953,0.35439396294633196,0.7445591607209192,4003,133,99,52,185,1123,MLP inicial
0.175,0.9486820620480523,0.2982456140350877,0.33774834437086093,0.3167701863354037,0.35439396294633196,0.7445591607209192,4016,120,100,51,171,1120,MLP inicial
0.18,0.9498483788196874,0.3072289156626506,0.33774834437086093,0.3217665615141956,0.35439396294633196,0.7445591607209192,4021,115,100,51,166,1115,MLP inicial
0.185,0.9507814322369955,0.3125,0.33112582781456956,0.3215434083601286,0.35439396294633196,0.7445591607209192,4026,110,101,50,160,1120,MLP inicial
0.19,0.9512479589456496,0.3141025641025641,0.32450331125827814,0.31921824104234525,0.35439396294633196,0.7445591607209192,4029,107,102,49,156,1127,MLP inicial
0.195,0.9519477490086308,0.3202614379084967,0.32450331125827814,0.3223684210526316,0.35439396294633196,0.7445591607209192,4032,104,102,49,153,1124,MLP inicial
0.19999999999999998,0.953347329134593,0.3333333333333333,0.32450331125827814,0.3288590604026846,0.35439396294633196,0.7445591607209192,4038,98,102,49,147,1118,MLP inicial
0.205,0.954047119197574,0.3402777777777778,0.32450331125827814,0.33220338983050846,0.35439396294633196,0.7445591607209192,4041,95,102,49,144,1115,MLP inicial
0.21,0.9559132260321903,0.3602941176470588,0.32450331125827814,0.34146341463414637,0.35439396294633196,0.7445591607209192,4049,87,102,49,136,1107,MLP inicial
0.215,0.9570795428038256,0.37404580152671757,0.32450331125827814,0.3475177304964539,0.35439396294633196,0.7445591607209192,4054,82,102,49,131,1102,MLP inicial
0.22,0.9582458595754607,0.3888888888888889,0.32450331125827814,0.35379061371841153,0.35439396294633196,0.7445591607209192,4059,77,102,49,126,1097,MLP inicial
0.225,0.9591789129927688,0.4016393442622951,0.32450331125827814,0.358974358974359,0.35439396294633196,0.7445591607209192,4063,73,102,49,122,1093,MLP inicial
0.22999999999999998,0.95987870305575,0.41025641025641024,0.31788079470198677,0.3582089552238806,0.35439396294633196,0.7445591607209192,4067,69,103,48,117,1099,MLP inicial
0.235,0.9603452297644041,0.41739130434782606,0.31788079470198677,0.3609022556390977,0.35439396294633196,0.7445591607209192,4069,67,103,48,115,1097,MLP inicial
0.24,0.960811756473058,0.4247787610619469,0.31788079470198677,0.36363636363636365,0.35439396294633196,0.7445591607209192,4071,65,103,48,113,1095,MLP inicial
0.245,0.9610450198273851,0.42857142857142855,0.31788079470198677,0.3650190114068441,0.35439396294633196,0.7445591607209192,4072,64,103,48,112,1094,MLP inicial
0.25,0.9617448098903663,0.44036697247706424,0.31788079470198677,0.36923076923076925,0.35439396294633196,0.7445591607209192,4075,61,103,48,109,1091,MLP inicial
0.255,0.9626778633076744,0.45714285714285713,0.31788079470198677,0.375,0.35439396294633196,0.7445591607209192,4079,57,103,48,105,1087,MLP inicial
0.26,0.9631443900163285,0.46601941747572817,0.31788079470198677,0.3779527559055118,0.35439396294633196,0.7445591607209192,4081,55,103,48,103,1085,MLP inicial
0.265,0.9638441800793095,0.48,0.31788079470198677,0.38247011952191234,0.35439396294633196,0.7445591607209192,4084,52,103,48,100,1082,MLP inicial
0.27,0.9640774434336365,0.48484848484848486,0.31788079470198677,0.384,0.35439396294633196,0.7445591607209192,4085,51,103,48,99,1081,MLP inicial
0.275,0.9643107067879636,0.4897959183673469,0.31788079470198677,0.3855421686746988,0.35439396294633196,0.7445591607209192,4086,50,103,48,98,1080,MLP inicial
0.28,0.9650104968509448,0.5052631578947369,0.31788079470198677,0.3902439024390244,0.35439396294633196,0.7445591607209192,4089,47,103,48,95,1077,MLP inicial
0.28500000000000003,0.9657102869139258,0.5217391304347826,0.31788079470198677,0.3950617283950617,0.35439396294633196,0.7445591607209192,4092,44,103,48,92,1074,MLP inicial
0.29000000000000004,0.966410076976907,0.5393258426966292,0.31788079470198677,0.4,0.35439396294633196,0.7445591607209192,4095,41,103,48,89,1071,MLP inicial
