umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.085,0.966643340331234,0.5425531914893617,0.33774834437086093,0.4163265306122449,0.36980015276995626,0.7656195959880616,4093,43,100,51,94,1043,MLP regularizada
0.09000000000000001,0.9687427105201772,0.6,0.33774834437086093,0.4322033898305085,0.36980015276995626,0.7656195959880616,4102,34,100,51,85,1034,MLP regularizada
0.095,0.9699090272918125,0.6375,0.33774834437086093,0.44155844155844154,0.36980015276995626,0.7656195959880616,4107,29,100,51,80,1029,MLP regularizada
0.1,0.9708420807091206,0.6710526315789473,0.33774834437086093,0.44933920704845814,0.36980015276995626,0.7656195959880616,4111,25,100,51,76,1025,MLP regularizada
0.10500000000000001,0.9706088173547935,0.6666666666666666,0.33112582781456956,0.4424778761061947,0.36980015276995626,0.7656195959880616,4111,25,101,50,75,1035,MLP regularizada
0.11,0.9708420807091206,0.6756756756756757,0.33112582781456956,0.4444444444444444,0.36980015276995626,0.7656195959880616,4112,24,101,50,74,1034,MLP regularizada
0.115,0.9710753440634476,0.684931506849315,0.33112582781456956,0.44642857142857145,0.36980015276995626,0.7656195959880616,4113,23,101,50,73,1033,MLP regularizada
0.12000000000000001,0.9715418707721017,0.704225352112676,0.33112582781456956,0.45045045045045046,0.36980015276995626,0.7656195959880616,4115,21,101,50,71,1031,MLP regularizada
0.125,0.9715418707721017,0.704225352112676,0.33112582781456956,0.45045045045045046,0.36980015276995626,0.7656195959880616,4115,21,101,50,71,1031,MLP regularizada
0.13,0.9715418707721017,0.704225352112676,0.33112582781456956,0.45045045045045046,0.36980015276995626,0.7656195959880616,4115,21,101,50,71,1031,MLP regularizada
0.135,0.9717751341264287,0.7142857142857143,0.33112582781456956,0.45248868778280543,0.36980015276995626,0.7656195959880616,4116,20,101,50,70,1030,MLP regularizada
0.13999999999999999,0.9722416608350828,0.7352941176470589,0.33112582781456956,0.45662100456621,0.36980015276995626,0.7656195959880616,4118,18,101,50,68,1028,MLP regularizada
0.145,0.9722416608350828,0.7352941176470589,0.33112582781456956,0.45662100456621,0.36980015276995626,0.7656195959880616,4118,18,101,50,68,1028,MLP regularizada
0.15,0.9722416608350828,0.7352941176470589,0.33112582781456956,0.45662100456621,0.36980015276995626,0.7656195959880616,4118,18,101,50,68,1028,MLP regularizada
0.155,0.9722416608350828,0.7352941176470589,0.33112582781456956,0.45662100456621,0.36980015276995626,0.7656195959880616,4118,18,101,50,68,1028,MLP regularizada
0.16,0.9722416608350828,0.7352941176470589,0.33112582781456956,0.45662100456621,0.36980015276995626,0.7656195959880616,4118,18,101,50,68,1028,MLP regularizada
0.16499999999999998,0.9722416608350828,0.7352941176470589,0.33112582781456956,0.45662100456621,0.36980015276995626,0.7656195959880616,4118,18,101,50,68,1028,MLP regularizada
0.16999999999999998,0.9724749241894098,0.746268656716418,0.33112582781456956,0.45871559633027525,0.36980015276995626,0.7656195959880616,4119,17,101,50,67,1027,MLP regularizada
0.175,0.9724749241894098,0.746268656716418,0.33112582781456956,0.45871559633027525,0.36980015276995626,0.7656195959880616,4119,17,101,50,67,1027,MLP regularizada
0.18,0.9724749241894098,0.746268656716418,0.33112582781456956,0.45871559633027525,0.36980015276995626,0.7656195959880616,4119,17,101,50,67,1027,MLP regularizada
0.185,0.9724749241894098,0.746268656716418,0.33112582781456956,0.45871559633027525,0.36980015276995626,0.7656195959880616,4119,17,101,50,67,1027,MLP regularizada
0.19,0.9724749241894098,0.746268656716418,0.33112582781456956,0.45871559633027525,0.36980015276995626,0.7656195959880616,4119,17,101,50,67,1027,MLP regularizada
0.195,0.9724749241894098,0.746268656716418,0.33112582781456956,0.45871559633027525,0.36980015276995626,0.7656195959880616,4119,17,101,50,67,1027,MLP regularizada
0.19999999999999998,0.9722416608350828,0.7424242424242424,0.32450331125827814,0.45161290322580644,0.36980015276995626,0.7656195959880616,4119,17,102,49,66,1037,MLP regularizada
0.205,0.9722416608350828,0.7424242424242424,0.32450331125827814,0.45161290322580644,0.36980015276995626,0.7656195959880616,4119,17,102,49,66,1037,MLP regularizada
0.21,0.9722416608350828,0.7424242424242424,0.32450331125827814,0.45161290322580644,0.36980015276995626,0.7656195959880616,4119,17,102,49,66,1037,MLP regularizada
0.215,0.9722416608350828,0.7424242424242424,0.32450331125827814,0.45161290322580644,0.36980015276995626,0.7656195959880616,4119,17,102,49,66,1037,MLP regularizada
0.22,0.9724749241894098,0.7538461538461538,0.32450331125827814,0.4537037037037037,0.36980015276995626,0.7656195959880616,4120,16,102,49,65,1036,MLP regularizada
0.225,0.9724749241894098,0.7538461538461538,0.32450331125827814,0.4537037037037037,0.36980015276995626,0.7656195959880616,4120,16,102,49,65,1036,MLP regularizada
0.22999999999999998,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.235,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
