umbral,accuracy,balanced_accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,tasa_alertas,costo_relativo
0.56,0.9710753440634476,0.6659728182202467,0.68,0.33774834437086093,0.45132743362831856,0.3980520136412288,0.7634964197420164,4112,24,100,51,75,0.01749475157452764,524
0.57,0.9713086074177747,0.6660937079687961,0.6891891891891891,0.33774834437086093,0.4533333333333333,0.3980520136412288,0.7634964197420164,4113,23,100,51,74,0.017261488220200606,523
0.58,0.9717751341264287,0.6663354874658947,0.7083333333333334,0.33774834437086093,0.45739910313901344,0.3980520136412288,0.7634964197420164,4115,21,100,51,72,0.016794961511546535,521
0.59,0.9720083974807557,0.666456377214444,0.7183098591549296,0.33774834437086093,0.4594594594594595,0.3980520136412288,0.7634964197420164,4116,20,100,51,71,0.0165616981572195,520
0.6,0.9722416608350828,0.6665772669629934,0.7285714285714285,0.33774834437086093,0.46153846153846156,0.3980520136412288,0.7634964197420164,4117,19,100,51,70,0.016328434802892467,519
0.61,0.9722416608350828,0.6665772669629934,0.7285714285714285,0.33774834437086093,0.46153846153846156,0.3980520136412288,0.7634964197420164,4117,19,100,51,70,0.016328434802892467,519
0.62,0.9722416608350828,0.6665772669629934,0.7285714285714285,0.33774834437086093,0.46153846153846156,0.3980520136412288,0.7634964197420164,4117,19,100,51,70,0.016328434802892467,519
0.63,0.9727081875437369,0.6668190464600919,0.75,0.33774834437086093,0.4657534246575342,0.3980520136412288,0.7634964197420164,4119,17,100,51,68,0.015861908094238396,517
0.64,0.9727081875437369,0.6668190464600919,0.75,0.33774834437086093,0.4657534246575342,0.3980520136412288,0.7634964197420164,4119,17,100,51,68,0.015861908094238396,517
0.65,0.9729414508980639,0.6669399362086413,0.7611940298507462,0.33774834437086093,0.46788990825688076,0.3980520136412288,0.7634964197420164,4120,16,100,51,67,0.01562864473991136,516
